Ranking Week,Rank,Name,Country,Points,Tournaments,Member ID
7/12/2022,64,Max WEISSKIRCHEN,GER,32996,35,84815
7/12/2022,65,Subhankar DEY,IND,32825,31,60967
7/12/2022,66,LEE Dong Keun,KOR,32655,23,64933
7/12/2022,67,Suppanyu AVIHINGSANON,THA,32486,22,46874
7/12/2022,68,SON Wan Ho,KOR,32185,12,54346
7/12/2022,69,Tien Minh NGUYEN,VIE,32055,19,14107
7/12/2022,70,Kiran GEORGE,IND,31787,31,68317
7/12/2022,71,Mads CHRISTOPHERSEN,DEN,31780,31,83938
7/12/2022,72,Kalle KOLJONEN,FIN,31712,35,92655
7/12/2022,73,CHEAM June Wei,MAS,31010,31,92796
7/12/2022,74,Luís Enrique PEÑALVER,ESP,30990,42,71221
7/12/2022,75,Ajay JAYARAM,IND,30050,24,55351
7/12/2022,76,Sergey SIRANT,RUS,29474,29,93878
7/12/2022,77,Mithun MANJUNATH,IND,29441,25,62720
7/12/2022,78,Xiaodong SHENG,CAN,28730,31,77143
7/12/2022,79,Kai SCHAEFER,GER,27982,43,20808
7/12/2022,80,Lino MUNOZ,MEX,27088,29,96461
7/12/2022,81,Ade Resky DWICAHYO,AZE,27056,38,78890
7/12/2022,82,Kim BRUUN,DEN,26960,31,96545
7/12/2022,83,Priyanshu RAJAWAT,IND,26936,14,69093
7/12/2022,84,B. R. Sankeerth,CAN,26352,44,61819
7/12/2022,85,LIN Chun-Yi,TPE,26090,12,86114
7/12/2022,86,Ikhsan Leonardo Imanuel RUMBAY,INA,25861,16,90657
7/12/2022,87,LU Chia Hung,TPE,25149,21,91254
7/12/2022,88,KIM DongHun,KOR,25097,14,99672
7/12/2022,89,Siril VERMA,IND,24650,25,68139
7/12/2022,90,Jia Heng Jason TEH,SGP,24486,20,82606
7/12/2022,91,LIN Yu Hsien,TPE,24460,16,91665
7/12/2022,92,Joran KWEEKEL,NED,24279,35,62286
7/12/2022,93,Luka WRABER,AUT,24018,43,56274
7/12/2022,94,Lucas CORVEE,FRA,23890,18,89416
7/12/2022,95,Ditlev Jaeger HOLM,DEN,23500,26,90130
7/12/2022,96,Chirag SEN,IND,23020,33,83657
7/12/2022,97,Chia Hao LEE,TPE,22990,24,59322
7/12/2022,98,DANYLO BOSNIUK,UKR,22760,34,58328
7/12/2022,99,Vladimir MALKOV,RUS,22695,27,51682
7/5/2022,1,Viktor AXELSEN,DEN,121606,41,25831
7/5/2022,2,Kento MOMOTA,JPN,112704,29,89785
7/5/2022,3,Anders ANTONSEN,DEN,98300,37,91554
7/5/2022,4,CHOU Tien Chen,TPE,93776,40,34810
7/5/2022,5,LEE Zii Jia,MAS,91578,44,81561
7/5/2022,6,Anthony Sinisuka GINTING,INA,87879,38,95661
7/5/2022,7,CHEN Long,CHN,84400,18,75787
7/5/2022,8,Jonatan CHRISTIE,INA,83512,38,73442
7/5/2022,9,LOH Kean Yew,SGP,77854,34,76115
7/5/2022,10,Lakshya SEN,IND,75874,41,68870
7/5/2022,11,KIDAMBI Srikanth,IND,72481,44,93627
7/5/2022,12,Rasmus GEMKE,DEN,70551,39,62855
7/5/2022,13,NG Ka Long Angus,HKG,70257,37,45171
7/5/2022,14,Kanta TSUNEYAMA,JPN,67848,33,57823
7/5/2022,15,LEE Cheuk Yiu,HKG,66061,37,94780
7/5/2022,16,WANG Tzu Wei,TPE,65876,45,87375
7/5/2022,17,SHI Yu Qi,CHN,64941,16,57945
7/5/2022,18,Kunlavut VITIDSARN,THA,64749,38,64032
7/5/2022,19,PRANNOY H. S.,IND,59700,42,83950
7/5/2022,20,SAI PRANEETH B.,IND,59276,36,42776
7/5/2022,21,Kenta NISHIMOTO,JPN,59079,38,85394
7/5/2022,22,Hans-Kristian Solberg VITTINGHUS,DEN,58422,35,53753
7/5/2022,23,Kantaphon WANGCHAROEN,THA,56723,45,92508
7/5/2022,24,Shesar Hiren RHUSTAVITO,INA,54443,39,81887
7/5/2022,25,LU Guang Zu,CHN,53980,31,77427
7/5/2022,26,ZHAO Jun Peng,CHN,53461,23,95930
7/5/2022,27,Toma Junior POPOV,FRA,53403,39,61628
7/5/2022,28,Mark CALJOUW,NED,51119,39,76973
7/5/2022,29,Sameer VERMA,IND,50839,35,77003
7/5/2022,30,LIEW Daren,MAS,50209,36,52864
7/5/2022,31,Brian YANG,CAN,50010,47,63122
7/5/2022,32,Sitthikom THAMMASIN,THA,49546,35,58963
7/5/2022,33,HEO Kwang Hee,KOR,49155,39,68718
7/5/2022,34,Tommy SUGIARTO,INA,48800,27,14587
7/5/2022,35,Jan O JORGENSEN,DEN,47664,17,54431
7/5/2022,36,PARUPALLI Kashyap,IND,45610,33,53944
7/5/2022,37,Kevin CORDON,GUA,45597,23,54897
7/5/2022,38,HUANG Yu Xiang,CHN,45000,17,71261
7/5/2022,39,Brice LEVERDEZ,FRA,44934,42,52968
7/5/2022,40,Nhat NGUYEN,IRL,44170,40,85095
7/5/2022,41,LI Shi Feng,CHN,43713,20,95476
7/5/2022,42,Kodai NARAOKA,JPN,43261,20,62063
7/5/2022,43,Thomas ROUXEL,FRA,42710,40,38500
7/5/2022,44,Sourabh VERMA,IND,42400,28,25925
7/5/2022,45,Chico Aura DWI WARDOYO,INA,42268,24,71408
7/5/2022,46,Koki WATANABE,JPN,41516,23,97174
7/5/2022,47,Khosit PHETPRADAB,THA,40099,26,29449
7/5/2022,48,NG Tze Yong,MAS,40094,24,81362
7/5/2022,49,Misha ZILBERMAN,ISR,39724,36,52953
7/5/2022,50,WENG Hong Yang,CHN,37393,15,77042
7/5/2022,51,Ygor COELHO,BRA,36949,38,96429
7/5/2022,52,Jason Anthony HO-SHUE,CAN,36507,34,93791
7/5/2022,53,Tanongsak SAENSOMBOONSUK,THA,36460,17,54513
7/5/2022,54,Toby PENTY,ENG,35722,29,88523
7/5/2022,55,SUN Fei Xiang,CHN,35130,18,57762
7/5/2022,56,Christo POPOV,FRA,34710,28,72885
7/5/2022,57,Arnaud MERKLE,FRA,34203,34,59543
7/5/2022,58,WONG Wing Ki Vincent,HKG,34050,17,55280
7/5/2022,59,SOONG Joo Ven,MAS,33430,22,87117
7/5/2022,60,Lucas CLAERBOUT,FRA,33284,36,89506
7/5/2022,61,Pablo ABIAN,ESP,33280,45,14251
7/5/2022,62,Victor SVENDSEN,DEN,33130,29,59420
7/5/2022,63,Felix BURESTEDT,SWE,33111,35,83985
7/5/2022,64,Max WEISSKIRCHEN,GER,32996,35,84815
7/5/2022,65,Subhankar DEY,IND,32825,31,60967
7/5/2022,66,LEE Dong Keun,KOR,32655,22,64933
7/5/2022,67,Suppanyu AVIHINGSANON,THA,32486,22,46874
7/5/2022,68,SON Wan Ho,KOR,32185,12,54346
7/5/2022,69,Tien Minh NGUYEN,VIE,32055,19,14107
7/5/2022,70,Kiran GEORGE,IND,31787,31,68317
7/5/2022,71,Mads CHRISTOPHERSEN,DEN,31780,31,83938
7/5/2022,72,Kalle KOLJONEN,FIN,31712,35,92655
7/5/2022,73,CHEAM June Wei,MAS,31010,30,92796
7/5/2022,74,Luís Enrique PEÑALVER,ESP,30990,42,71221
7/5/2022,75,Ajay JAYARAM,IND,30050,24,55351
7/5/2022,76,Sergey SIRANT,RUS,29474,29,93878
7/5/2022,77,Mithun MANJUNATH,IND,29441,25,62720
7/5/2022,78,Xiaodong SHENG,CAN,28730,31,77143
7/5/2022,79,Kai SCHAEFER,GER,27982,42,20808
7/5/2022,80,Lino MUNOZ,MEX,27088,29,96461
7/5/2022,81,Ade Resky DWICAHYO,AZE,27056,37,78890
7/5/2022,82,Kim BRUUN,DEN,26960,31,96545
7/5/2022,83,Priyanshu RAJAWAT,IND,26936,14,69093
7/5/2022,84,B. R. Sankeerth,CAN,26352,44,61819
7/5/2022,85,LIN Chun-Yi,TPE,26090,12,86114
7/5/2022,86,Ikhsan Leonardo Imanuel RUMBAY,INA,25861,16,90657
7/5/2022,87,LU Chia Hung,TPE,25149,21,91254
7/5/2022,88,KIM DongHun,KOR,25097,14,99672
7/5/2022,89,Siril VERMA,IND,24650,25,68139
7/5/2022,90,Jia Heng Jason TEH,SGP,24486,20,82606
7/5/2022,91,LIN Yu Hsien,TPE,24460,16,91665
7/5/2022,92,Joran KWEEKEL,NED,24279,35,62286
7/5/2022,93,Luka WRABER,AUT,24018,43,56274
7/5/2022,94,Lucas CORVEE,FRA,23890,18,89416
7/5/2022,95,Ditlev Jaeger HOLM,DEN,23500,26,90130
7/5/2022,96,Chirag SEN,IND,23020,33,83657
7/5/2022,97,Chia Hao LEE,TPE,22990,24,59322
7/5/2022,98,DANYLO BOSNIUK,UKR,22760,34,58328
7/5/2022,99,Vladimir MALKOV,RUS,22695,27,51682
6/28/2022,1,Viktor AXELSEN,DEN,121606,40,25831
6/28/2022,2,Kento MOMOTA,JPN,112554,28,89785
6/28/2022,3,Anders ANTONSEN,DEN,98300,37,91554
6/28/2022,4,CHOU Tien Chen,TPE,93776,39,34810
6/28/2022,5,LEE Zii Jia,MAS,91578,43,81561
6/28/2022,6,Anthony Sinisuka GINTING,INA,87879,37,95661
6/28/2022,7,CHEN Long,CHN,84400,18,75787
6/28/2022,8,Jonatan CHRISTIE,INA,82812,37,73442
6/28/2022,9,LOH Kean Yew,SGP,77854,33,76115
6/28/2022,10,Lakshya SEN,IND,75874,41,68870
6/28/2022,11,KIDAMBI Srikanth,IND,72481,44,93627
6/28/2022,12,Rasmus GEMKE,DEN,70551,38,62855
6/28/2022,13,NG Ka Long Angus,HKG,70257,36,45171
6/28/2022,14,Kanta TSUNEYAMA,JPN,67848,33,57823
6/28/2022,15,LEE Cheuk Yiu,HKG,66061,36,94780
6/28/2022,16,WANG Tzu Wei,TPE,65876,44,87375
6/28/2022,17,SHI Yu Qi,CHN,64941,16,57945
6/28/2022,18,Kunlavut VITIDSARN,THA,61849,37,64032
6/28/2022,19,SAI PRANEETH B.,IND,59276,35,42776
6/28/2022,20,Kenta NISHIMOTO,JPN,59079,37,85394
6/28/2022,21,PRANNOY H. S.,IND,58450,41,83950
6/28/2022,22,Hans-Kristian Solberg VITTINGHUS,DEN,58422,35,53753
6/28/2022,23,Kantaphon WANGCHAROEN,THA,56723,45,92508
6/28/2022,24,ZHAO Jun Peng,CHN,53461,22,95930
6/28/2022,25,Toma Junior POPOV,FRA,53403,39,61628
6/28/2022,26,Shesar Hiren RHUSTAVITO,INA,53293,38,81887
6/28/2022,27,LU Guang Zu,CHN,52730,30,77427
6/28/2022,28,Mark CALJOUW,NED,51119,38,76973
6/28/2022,29,Sameer VERMA,IND,50839,34,77003
6/28/2022,30,LIEW Daren,MAS,50209,35,52864
6/28/2022,31,Brian YANG,CAN,50010,46,63122
6/28/2022,32,HEO Kwang Hee,KOR,49155,38,68718
6/28/2022,33,Sitthikom THAMMASIN,THA,48826,34,58963
6/28/2022,34,Tommy SUGIARTO,INA,48800,26,14587
6/28/2022,35,Jan O JORGENSEN,DEN,47664,17,54431
6/28/2022,36,Kevin CORDON,GUA,45437,22,54897
6/28/2022,37,HUANG Yu Xiang,CHN,45000,17,71261
6/28/2022,38,Brice LEVERDEZ,FRA,44934,41,52968
6/28/2022,39,PARUPALLI Kashyap,IND,44290,32,53944
6/28/2022,40,Nhat NGUYEN,IRL,44170,39,85095
6/28/2022,41,LI Shi Feng,CHN,43713,20,95476
6/28/2022,42,Kodai NARAOKA,JPN,43261,20,62063
6/28/2022,43,Thomas ROUXEL,FRA,42710,40,38500
6/28/2022,44,Sourabh VERMA,IND,42400,28,25925
6/28/2022,45,Chico Aura DWI WARDOYO,INA,41808,23,71408
6/28/2022,46,Koki WATANABE,JPN,41516,23,97174
6/28/2022,47,Khosit PHETPRADAB,THA,40099,26,29449
6/28/2022,48,NG Tze Yong,MAS,40094,23,81362
6/28/2022,49,Misha ZILBERMAN,ISR,39724,36,52953
6/28/2022,50,WENG Hong Yang,CHN,37393,15,77042
6/28/2022,51,Ygor COELHO,BRA,36949,38,96429
6/28/2022,52,Jason Anthony HO-SHUE,CAN,36507,34,93791
6/28/2022,53,Tanongsak SAENSOMBOONSUK,THA,36460,17,54513
6/28/2022,54,Toby PENTY,ENG,35722,29,88523
6/28/2022,55,SUN Fei Xiang,CHN,35130,18,57762
6/28/2022,56,Christo POPOV,FRA,34710,28,72885
6/28/2022,57,Arnaud MERKLE,FRA,34203,34,59543
6/28/2022,58,WONG Wing Ki Vincent,HKG,34050,17,55280
6/28/2022,59,SOONG Joo Ven,MAS,33430,22,87117
6/28/2022,60,Lucas CLAERBOUT,FRA,33284,36,89506
6/28/2022,61,Pablo ABIAN,ESP,33280,45,14251
6/28/2022,62,Victor SVENDSEN,DEN,33130,29,59420
6/28/2022,63,Felix BURESTEDT,SWE,33111,35,83985
6/28/2022,64,Max WEISSKIRCHEN,GER,32996,35,84815
6/28/2022,65,Subhankar DEY,IND,32825,31,60967
6/28/2022,66,LEE Dong Keun,KOR,32655,22,64933
6/28/2022,67,Suppanyu AVIHINGSANON,THA,32486,22,46874
6/28/2022,68,SON Wan Ho,KOR,32185,12,54346
6/28/2022,69,Tien Minh NGUYEN,VIE,32055,19,14107
6/28/2022,70,Kiran GEORGE,IND,31787,31,68317
6/28/2022,71,Mads CHRISTOPHERSEN,DEN,31780,31,83938
6/28/2022,72,Kalle KOLJONEN,FIN,31712,35,92655
6/28/2022,73,CHEAM June Wei,MAS,31010,30,92796
6/28/2022,74,Luís Enrique PEÑALVER,ESP,30990,42,71221
6/28/2022,75,Ajay JAYARAM,IND,30050,24,55351
6/28/2022,76,Sergey SIRANT,RUS,29474,29,93878
6/28/2022,77,Mithun MANJUNATH,IND,29441,25,62720
6/28/2022,78,Xiaodong SHENG,CAN,28730,31,77143
6/28/2022,79,Kai SCHAEFER,GER,27982,42,20808
6/28/2022,80,Lino MUNOZ,MEX,27088,29,96461
6/28/2022,81,Ade Resky DWICAHYO,AZE,27056,37,78890
6/28/2022,82,Kim BRUUN,DEN,26960,31,96545
6/28/2022,83,Priyanshu RAJAWAT,IND,26936,14,69093
6/28/2022,84,B. R. Sankeerth,CAN,26352,44,61819
6/28/2022,85,LIN Chun-Yi,TPE,26090,12,86114
6/28/2022,86,Ikhsan Leonardo Imanuel RUMBAY,INA,25861,16,90657
6/28/2022,87,LU Chia Hung,TPE,25149,21,91254
6/28/2022,88,KIM DongHun,KOR,25097,14,99672
6/28/2022,89,Siril VERMA,IND,24650,25,68139
6/28/2022,90,Jia Heng Jason TEH,SGP,24486,20,82606
6/28/2022,91,LIN Yu Hsien,TPE,24460,16,91665
6/28/2022,92,Joran KWEEKEL,NED,24279,35,62286
6/28/2022,93,Luka WRABER,AUT,24018,43,56274
6/28/2022,94,Lucas CORVEE,FRA,23890,18,89416
6/28/2022,95,Ditlev Jaeger HOLM,DEN,23500,26,90130
6/28/2022,96,Chirag SEN,IND,23020,33,83657
6/28/2022,97,Chia Hao LEE,TPE,22990,24,59322
6/28/2022,98,DANYLO BOSNIUK,UKR,22760,34,58328
6/28/2022,99,Vladimir MALKOV,RUS,22695,27,51682
6/21/2022,1,Viktor AXELSEN,DEN,121606,40,25831
6/21/2022,2,Kento MOMOTA,JPN,112554,28,89785
6/21/2022,3,Anders ANTONSEN,DEN,98300,37,91554
6/21/2022,4,CHOU Tien Chen,TPE,93776,39,34810
6/21/2022,5,LEE Zii Jia,MAS,91578,43,81561
6/21/2022,6,Anthony Sinisuka GINTING,INA,87879,37,95661
6/21/2022,7,CHEN Long,CHN,84400,18,75787
6/21/2022,8,Jonatan CHRISTIE,INA,82812,37,73442
6/21/2022,9,LOH Kean Yew,SGP,77854,33,76115
6/21/2022,10,Lakshya SEN,IND,75874,41,68870
6/21/2022,11,KIDAMBI Srikanth,IND,72481,44,93627
6/21/2022,12,Rasmus GEMKE,DEN,70551,38,62855
6/21/2022,13,NG Ka Long Angus,HKG,70257,36,45171
6/21/2022,14,Kanta TSUNEYAMA,JPN,67848,33,57823
6/21/2022,15,LEE Cheuk Yiu,HKG,66061,36,94780
6/21/2022,16,WANG Tzu Wei,TPE,65876,44,87375
6/21/2022,17,SHI Yu Qi,CHN,64941,16,57945
6/21/2022,18,Kunlavut VITIDSARN,THA,61849,37,64032
6/21/2022,19,SAI PRANEETH B.,IND,59276,35,42776
6/21/2022,20,Kenta NISHIMOTO,JPN,59079,37,85394
6/21/2022,21,PRANNOY H. S.,IND,58450,41,83950
6/21/2022,22,Hans-Kristian Solberg VITTINGHUS,DEN,58422,35,53753
6/21/2022,23,Kantaphon WANGCHAROEN,THA,56723,45,92508
6/21/2022,24,ZHAO Jun Peng,CHN,53461,22,95930
6/21/2022,25,Toma Junior POPOV,FRA,53403,39,61628
6/21/2022,26,Shesar Hiren RHUSTAVITO,INA,53293,38,81887
6/21/2022,27,LU Guang Zu,CHN,52730,30,77427
6/21/2022,28,Mark CALJOUW,NED,51119,38,76973
6/21/2022,29,Sameer VERMA,IND,50839,34,77003
6/21/2022,30,LIEW Daren,MAS,50209,35,52864
6/21/2022,31,Brian YANG,CAN,50010,46,63122
6/21/2022,32,HEO Kwang Hee,KOR,49155,38,68718
6/21/2022,33,Sitthikom THAMMASIN,THA,48826,34,58963
6/21/2022,34,Tommy SUGIARTO,INA,48800,26,14587
6/21/2022,35,Jan O JORGENSEN,DEN,47664,17,54431
6/21/2022,36,Kevin CORDON,GUA,45437,22,54897
6/21/2022,37,HUANG Yu Xiang,CHN,45000,17,71261
6/21/2022,38,Brice LEVERDEZ,FRA,44934,41,52968
6/21/2022,39,PARUPALLI Kashyap,IND,44290,32,53944
6/21/2022,40,Nhat NGUYEN,IRL,44170,39,85095
6/21/2022,41,LI Shi Feng,CHN,43713,20,95476
6/21/2022,42,Kodai NARAOKA,JPN,43261,20,62063
6/21/2022,43,Thomas ROUXEL,FRA,42710,40,38500
6/21/2022,44,Sourabh VERMA,IND,42400,28,25925
6/21/2022,45,Chico Aura DWI WARDOYO,INA,41808,23,71408
6/21/2022,46,Koki WATANABE,JPN,41516,23,97174
6/21/2022,47,Khosit PHETPRADAB,THA,40099,26,29449
6/21/2022,48,NG Tze Yong,MAS,40094,23,81362
6/21/2022,49,Misha ZILBERMAN,ISR,39724,35,52953
6/21/2022,50,WENG Hong Yang,CHN,37393,15,77042
6/21/2022,51,Ygor COELHO,BRA,36949,38,96429
6/21/2022,52,Jason Anthony HO-SHUE,CAN,36507,34,93791
6/21/2022,53,Tanongsak SAENSOMBOONSUK,THA,36460,17,54513
6/21/2022,54,Toby PENTY,ENG,35722,28,88523
6/21/2022,55,SUN Fei Xiang,CHN,35130,18,57762
6/21/2022,56,Arnaud MERKLE,FRA,34203,33,59543
6/21/2022,57,WONG Wing Ki Vincent,HKG,34050,17,55280
6/21/2022,58,Christo POPOV,FRA,33970,27,72885
6/21/2022,59,SOONG Joo Ven,MAS,33430,22,87117
6/21/2022,60,Lucas CLAERBOUT,FRA,33284,35,89506
6/21/2022,61,Pablo ABIAN,ESP,33280,45,14251
6/21/2022,62,Victor SVENDSEN,DEN,33130,29,59420
6/21/2022,63,Felix BURESTEDT,SWE,33111,35,83985
6/21/2022,64,Max WEISSKIRCHEN,GER,32996,35,84815
6/21/2022,65,Subhankar DEY,IND,32825,31,60967
6/21/2022,66,LEE Dong Keun,KOR,32655,22,64933
6/21/2022,67,Suppanyu AVIHINGSANON,THA,32486,22,46874
6/21/2022,68,SON Wan Ho,KOR,32185,12,54346
6/21/2022,69,Tien Minh NGUYEN,VIE,32055,19,14107
6/21/2022,70,Kiran GEORGE,IND,31787,31,68317
6/21/2022,71,Kalle KOLJONEN,FIN,31712,35,92655
6/21/2022,72,CHEAM June Wei,MAS,31010,29,92796
6/21/2022,73,Luís Enrique PEÑALVER,ESP,30990,42,71221
6/21/2022,74,Ajay JAYARAM,IND,30050,24,55351
6/21/2022,75,Mads CHRISTOPHERSEN,DEN,29980,30,83938
6/21/2022,76,Sergey SIRANT,RUS,29474,29,93878
6/21/2022,77,Mithun MANJUNATH,IND,29441,25,62720
6/21/2022,78,Xiaodong SHENG,CAN,28730,31,77143
6/21/2022,79,Kai SCHAEFER,GER,27982,41,20808
6/21/2022,80,Lino MUNOZ,MEX,27088,29,96461
6/21/2022,81,Ade Resky DWICAHYO,AZE,27056,37,78890
6/21/2022,82,Kim BRUUN,DEN,26960,31,96545
6/21/2022,83,Priyanshu RAJAWAT,IND,26936,14,69093
6/21/2022,84,B. R. Sankeerth,CAN,26352,44,61819
6/21/2022,85,LIN Chun-Yi,TPE,26090,12,86114
6/21/2022,86,Ikhsan Leonardo Imanuel RUMBAY,INA,25861,16,90657
6/21/2022,87,LU Chia Hung,TPE,25149,20,91254
6/21/2022,88,KIM DongHun,KOR,25097,14,99672
6/21/2022,89,Siril VERMA,IND,24650,24,68139
6/21/2022,90,Jia Heng Jason TEH,SGP,24486,19,82606
6/21/2022,91,LIN Yu Hsien,TPE,24460,15,91665
6/21/2022,92,Joran KWEEKEL,NED,24279,34,62286
6/21/2022,93,Luka WRABER,AUT,24018,42,56274
6/21/2022,94,Lucas CORVEE,FRA,23890,18,89416
6/21/2022,95,Chirag SEN,IND,23020,33,83657
6/21/2022,96,Ditlev Jaeger HOLM,DEN,22820,25,90130
6/21/2022,97,DANYLO BOSNIUK,UKR,22760,34,58328
6/21/2022,98,Vladimir MALKOV,RUS,22695,27,51682
6/21/2022,99,Jan LOUDA,CZE,22690,35,61423
6/14/2022,1,Viktor AXELSEN,DEN,119806,39,25831
6/14/2022,2,Kento MOMOTA,JPN,112554,27,89785
6/14/2022,3,Anders ANTONSEN,DEN,98300,37,91554
6/14/2022,4,CHOU Tien Chen,TPE,93776,38,34810
6/14/2022,5,LEE Zii Jia,MAS,90378,42,81561
6/14/2022,6,Anthony Sinisuka GINTING,INA,87879,36,95661
6/14/2022,7,CHEN Long,CHN,84400,18,75787
6/14/2022,8,Jonatan CHRISTIE,INA,82812,36,73442
6/14/2022,9,LOH Kean Yew,SGP,75934,32,76115
6/14/2022,10,Lakshya SEN,IND,75874,40,68870
6/14/2022,11,KIDAMBI Srikanth,IND,72481,43,93627
6/14/2022,12,NG Ka Long Angus,HKG,70257,35,45171
6/14/2022,13,Rasmus GEMKE,DEN,69151,37,62855
6/14/2022,14,Kanta TSUNEYAMA,JPN,67848,32,57823
6/14/2022,15,WANG Tzu Wei,TPE,65876,44,87375
6/14/2022,16,SHI Yu Qi,CHN,64941,16,57945
6/14/2022,17,LEE Cheuk Yiu,HKG,64261,35,94780
6/14/2022,18,Kunlavut VITIDSARN,THA,61849,36,64032
6/14/2022,19,SAI PRANEETH B.,IND,59276,34,42776
6/14/2022,20,Kenta NISHIMOTO,JPN,59079,36,85394
6/14/2022,21,Hans-Kristian Solberg VITTINGHUS,DEN,57942,34,53753
6/14/2022,22,Kantaphon WANGCHAROEN,THA,56723,44,92508
6/14/2022,23,PRANNOY H. S.,IND,54370,40,83950
6/14/2022,24,Shesar Hiren RHUSTAVITO,INA,53293,37,81887
6/14/2022,25,LU Guang Zu,CHN,52730,29,77427
6/14/2022,26,Toma Junior POPOV,FRA,52603,38,61628
6/14/2022,27,Mark CALJOUW,NED,51119,37,76973
6/14/2022,28,LIEW Daren,MAS,50209,34,52864
6/14/2022,29,Brian YANG,CAN,50010,46,63122
6/14/2022,30,Sameer VERMA,IND,49889,33,77003
6/14/2022,31,HEO Kwang Hee,KOR,49155,37,68718
6/14/2022,32,Sitthikom THAMMASIN,THA,48826,33,58963
6/14/2022,33,Tommy SUGIARTO,INA,48800,25,14587
6/14/2022,34,Jan O JORGENSEN,DEN,47664,17,54431
6/14/2022,35,ZHAO Jun Peng,CHN,47111,21,95930
6/14/2022,36,Kevin CORDON,GUA,45437,22,54897
6/14/2022,37,HUANG Yu Xiang,CHN,45000,17,71261
6/14/2022,38,PARUPALLI Kashyap,IND,44290,32,53944
6/14/2022,39,Nhat NGUYEN,IRL,44170,38,85095
6/14/2022,40,LI Shi Feng,CHN,43713,20,95476
6/14/2022,41,Brice LEVERDEZ,FRA,43334,40,52968
6/14/2022,42,Kodai NARAOKA,JPN,43261,20,62063
6/14/2022,43,Thomas ROUXEL,FRA,42710,39,38500
6/14/2022,44,Sourabh VERMA,IND,42400,28,25925
6/14/2022,45,Chico Aura DWI WARDOYO,INA,41808,23,71408
6/14/2022,46,Koki WATANABE,JPN,41516,23,97174
6/14/2022,47,Khosit PHETPRADAB,THA,40099,26,29449
6/14/2022,48,NG Tze Yong,MAS,40094,23,81362
6/14/2022,49,Misha ZILBERMAN,ISR,39724,35,52953
6/14/2022,50,WENG Hong Yang,CHN,37393,15,77042
6/14/2022,51,Ygor COELHO,BRA,36949,38,96429
6/14/2022,52,Jason Anthony HO-SHUE,CAN,36507,34,93791
6/14/2022,53,Tanongsak SAENSOMBOONSUK,THA,36460,17,54513
6/14/2022,54,Toby PENTY,ENG,35722,28,88523
6/14/2022,55,SUN Fei Xiang,CHN,35130,18,57762
6/14/2022,56,Arnaud MERKLE,FRA,34203,33,59543
6/14/2022,57,WONG Wing Ki Vincent,HKG,34050,17,55280
6/14/2022,58,Christo POPOV,FRA,33970,27,72885
6/14/2022,59,SOONG Joo Ven,MAS,33430,22,87117
6/14/2022,60,Lucas CLAERBOUT,FRA,33284,35,89506
6/14/2022,61,Pablo ABIAN,ESP,33280,45,14251
6/14/2022,62,Victor SVENDSEN,DEN,33130,29,59420
6/14/2022,63,Felix BURESTEDT,SWE,33111,35,83985
6/14/2022,64,Max WEISSKIRCHEN,GER,32996,35,84815
6/14/2022,65,Subhankar DEY,IND,32825,31,60967
6/14/2022,66,LEE Dong Keun,KOR,32655,22,64933
6/14/2022,67,Suppanyu AVIHINGSANON,THA,32486,22,46874
6/14/2022,68,SON Wan Ho,KOR,32185,12,54346
6/14/2022,69,Tien Minh NGUYEN,VIE,32055,19,14107
6/14/2022,70,Kiran GEORGE,IND,31787,31,68317
6/14/2022,71,Kalle KOLJONEN,FIN,31712,35,92655
6/14/2022,72,CHEAM June Wei,MAS,31010,29,92796
6/14/2022,73,Luís Enrique PEÑALVER,ESP,30990,42,71221
6/14/2022,74,Ajay JAYARAM,IND,30050,24,55351
6/14/2022,75,Mads CHRISTOPHERSEN,DEN,29980,30,83938
6/14/2022,76,Sergey SIRANT,RUS,29474,29,93878
6/14/2022,77,Mithun MANJUNATH,IND,29441,25,62720
6/14/2022,78,Xiaodong SHENG,CAN,28730,31,77143
6/14/2022,79,Kai SCHAEFER,GER,27982,41,20808
6/14/2022,80,Lino MUNOZ,MEX,27088,29,96461
6/14/2022,81,Ade Resky DWICAHYO,AZE,27056,37,78890
6/14/2022,82,Kim BRUUN,DEN,26960,31,96545
6/14/2022,83,Priyanshu RAJAWAT,IND,26936,14,69093
6/14/2022,84,B. R. Sankeerth,CAN,26352,44,61819
6/14/2022,85,LIN Chun-Yi,TPE,26090,12,86114
6/14/2022,86,Ikhsan Leonardo Imanuel RUMBAY,INA,25861,16,90657
6/14/2022,87,LU Chia Hung,TPE,25149,19,91254
6/14/2022,88,KIM DongHun,KOR,25097,14,99672
6/14/2022,89,Siril VERMA,IND,24650,24,68139
6/14/2022,90,Jia Heng Jason TEH,SGP,24486,19,82606
6/14/2022,91,LIN Yu Hsien,TPE,24460,15,91665
6/14/2022,92,Joran KWEEKEL,NED,24279,33,62286
6/14/2022,93,Luka WRABER,AUT,24018,42,56274
6/14/2022,94,Lucas CORVEE,FRA,23890,18,89416
6/14/2022,95,Chirag SEN,IND,23020,33,83657
6/14/2022,96,Ditlev Jaeger HOLM,DEN,22820,25,90130
6/14/2022,97,DANYLO BOSNIUK,UKR,22760,34,58328
6/14/2022,98,Vladimir MALKOV,RUS,22695,27,51682
6/14/2022,99,Jan LOUDA,CZE,22690,35,61423
6/7/2022,1,Viktor AXELSEN,DEN,119806,38,25831
